date,name,ticker,open,high,low,close,volume
2022-08-16,KASE,KASE_INDEX,3028.05,3032.97,3002.86,3011.78,66.78
2022-08-17,KASE,KASE_INDEX,3030.92,3041.52,3019.32,3030.47,171.09
2022-08-18,KASE,KASE_INDEX,3031.44,3045.24,3014.77,3041.07,144.06
2022-08-19,KASE,KASE_INDEX,3038.12,3077.31,3037.83,3077.31,313.29
2022-08-22,KASE,KASE_INDEX,3080.21,3080.21,3021.97,3045.04,318.92
2022-08-23,KASE,KASE_INDEX,3058.15,3093.08,3054.05,3079.29,548.83
2022-08-24,KASE,KASE_INDEX,3079.29,3114.59,3079.29,3104.76,365.64
2022-08-25,KASE,KASE_INDEX,3105.33,3142.2,3101.43,3131.6,719.78
2022-08-26,KASE,KASE_INDEX,3131.6,3150.75,3116.54,3131.96,2214.83
2022-08-27,KASE,KASE_INDEX,3130.58,3144.04,3124.12,3134.71,455.93
2022-08-31,KASE,KASE_INDEX,3146.47,3150.66,3125.46,3150.51,90.62
2022-09-01,KASE,KASE_INDEX,3151.0,3158.53,3135.03,3141.73,2266.76
2022-09-02,KASE,KASE_INDEX,3141.7,3145.71,3083.06,3091.24,981.76
2022-09-05,KASE,KASE_INDEX,3106.6,3107.72,3085.75,3093.33,60.89
2022-09-06,KASE,KASE_INDEX,3093.51,3117.96,3088.82,3111.1,99.85
2022-09-07,KASE,KASE_INDEX,3108.55,3108.55,3074.22,3099.44,139.49
2022-09-08,KASE,KASE_INDEX,3099.44,3145.2,3099.44,3145.2,119.88
2022-09-09,KASE,KASE_INDEX,3145.2,3145.2,3121.15,3139.72,49.1
2022-09-12,KASE,KASE_INDEX,3139.72,3157.21,3124.04,3153.43,114.54
2022-09-13,KASE,KASE_INDEX,3153.43,3185.0,3153.43,3173.01,1280.97
2022-09-14,KASE,KASE_INDEX,3173.02,3173.21,3137.65,3146.23,178.06
2022-09-15,KASE,KASE_INDEX,3146.23,3166.43,3136.31,3160.71,1283.96
2022-09-16,KASE,KASE_INDEX,3157.64,3157.64,3130.85,3142.65,1976.44
2022-09-19,KASE,KASE_INDEX,3140.18,3147.2,3122.77,3127.73,100.62
2022-09-20,KASE,KASE_INDEX,3131.35,3145.95,3120.37,3133.44,1071.39
2022-09-21,KASE,KASE_INDEX,3133.44,3134.64,3111.4,3116.96,1056.48
2022-09-22,KASE,KASE_INDEX,3116.97,3133.91,3103.62,3129.57,57.38
2022-09-23,KASE,KASE_INDEX,3128.58,3131.56,3105.44,3116.52,129.65
2022-09-26,KASE,KASE_INDEX,3115.61,3115.61,3071.75,3072.51,389.6
2022-09-27,KASE,KASE_INDEX,3067.93,3096.91,3066.94,3078.38,87.2
2022-09-28,KASE,KASE_INDEX,3077.92,3109.19,3059.51,3083.54,83.76
2022-09-29,KASE,KASE_INDEX,3083.53,3104.54,3083.0,3100.26,221.68
2022-09-30,KASE,KASE_INDEX,3100.26,3100.3,3082.25,3083.79,44.3
2022-10-03,KASE,KASE_INDEX,3065.36,3095.31,3060.07,3088.99,403.21
2022-10-04,KASE,KASE_INDEX,3076.45,3102.33,3076.45,3096.4,1296.63
2022-10-05,KASE,KASE_INDEX,3096.8,3108.53,3083.64,3101.1,354.8
2022-10-06,KASE,KASE_INDEX,3101.1,3130.53,3098.59,3125.24,153.23
2022-10-07,KASE,KASE_INDEX,3125.24,3132.9,3116.22,3124.4,92.25
2022-10-10,KASE,KASE_INDEX,3124.21,3128.74,3096.86,3115.35,153.15
2022-10-11,KASE,KASE_INDEX,3115.2,3137.01,3101.79,3120.38,959.71
2022-10-12,KASE,KASE_INDEX,3123.12,3129.27,3114.24,3125.98,51.87
